sample	unit	fq1	fq2
CZD188	161020_D00261_0369_AC9WREANXX_2_SX-PE-001	CZD188_161020_D00261_0369_AC9WREANXX_2_SX-PE-001_1.fastq.gz	CZD188_161020_D00261_0369_AC9WREANXX_2_SX-PE-001_2.fastq.gz
CZD189	161004_D00261_0367_ACA2LEANXX_5_SX-PE-056	CZD189_161004_D00261_0367_ACA2LEANXX_5_SX-PE-056_1.fastq.gz	CZD189_161004_D00261_0367_ACA2LEANXX_5_SX-PE-056_2.fastq.gz
CZD190	161004_D00261_0367_ACA2LEANXX_5_SX-PE-085	CZD190_161004_D00261_0367_ACA2LEANXX_5_SX-PE-085_1.fastq.gz	CZD190_161004_D00261_0367_ACA2LEANXX_5_SX-PE-085_2.fastq.gz
CZD192	161004_D00261_0367_ACA2LEANXX_6_SX-PE-053	CZD192_161004_D00261_0367_ACA2LEANXX_6_SX-PE-053_1.fastq.gz	CZD192_161004_D00261_0367_ACA2LEANXX_6_SX-PE-053_2.fastq.gz
CZD192	161122_D00261_0374_AC9U24ANXX_2_SX-PE-053	CZD192_161122_D00261_0374_AC9U24ANXX_2_SX-PE-053_1.fastq.gz	CZD192_161122_D00261_0374_AC9U24ANXX_2_SX-PE-053_2.fastq.gz
CZD193	161020_D00261_0369_AC9WREANXX_2_SX-PE-022	CZD193_161020_D00261_0369_AC9WREANXX_2_SX-PE-022_1.fastq.gz	CZD193_161020_D00261_0369_AC9WREANXX_2_SX-PE-022_2.fastq.gz
CZD195	161004_D00261_0367_ACA2LEANXX_6_SX-PE-082	CZD195_161004_D00261_0367_ACA2LEANXX_6_SX-PE-082_1.fastq.gz	CZD195_161004_D00261_0367_ACA2LEANXX_6_SX-PE-082_2.fastq.gz
CZD195	161122_D00261_0374_AC9U24ANXX_2_SX-PE-082	CZD195_161122_D00261_0374_AC9U24ANXX_2_SX-PE-082_1.fastq.gz	CZD195_161122_D00261_0374_AC9U24ANXX_2_SX-PE-082_2.fastq.gz
CZD196	161004_D00261_0367_ACA2LEANXX_5_SX-PE-003	CZD196_161004_D00261_0367_ACA2LEANXX_5_SX-PE-003_1.fastq.gz	CZD196_161004_D00261_0367_ACA2LEANXX_5_SX-PE-003_2.fastq.gz
CZD199	161004_D00261_0367_ACA2LEANXX_5_SX-PE-090	CZD199_161004_D00261_0367_ACA2LEANXX_5_SX-PE-090_1.fastq.gz	CZD199_161004_D00261_0367_ACA2LEANXX_5_SX-PE-090_2.fastq.gz
CZD200	161020_D00261_0369_AC9WREANXX_2_SX-PE-031	CZD200_161020_D00261_0369_AC9WREANXX_2_SX-PE-031_1.fastq.gz	CZD200_161020_D00261_0369_AC9WREANXX_2_SX-PE-031_2.fastq.gz
CZD201	161020_D00261_0369_AC9WREANXX_1_SX-PE-004	CZD201_161020_D00261_0369_AC9WREANXX_1_SX-PE-004_1.fastq.gz	CZD201_161020_D00261_0369_AC9WREANXX_1_SX-PE-004_2.fastq.gz
CZD211	161004_D00261_0367_ACA2LEANXX_5_SX-PE-075	CZD211_161004_D00261_0367_ACA2LEANXX_5_SX-PE-075_1.fastq.gz	CZD211_161004_D00261_0367_ACA2LEANXX_5_SX-PE-075_2.fastq.gz
CZD216	161020_D00261_0369_AC9WREANXX_1_SX-PE-071	CZD216_161020_D00261_0369_AC9WREANXX_1_SX-PE-071_1.fastq.gz	CZD216_161020_D00261_0369_AC9WREANXX_1_SX-PE-071_2.fastq.gz
CZD217	161004_D00261_0367_ACA2LEANXX_6_SX-PE-011	CZD217_161004_D00261_0367_ACA2LEANXX_6_SX-PE-011_1.fastq.gz	CZD217_161004_D00261_0367_ACA2LEANXX_6_SX-PE-011_2.fastq.gz
CZD217	161122_D00261_0374_AC9U24ANXX_2_SX-PE-011	CZD217_161122_D00261_0374_AC9U24ANXX_2_SX-PE-011_1.fastq.gz	CZD217_161122_D00261_0374_AC9U24ANXX_2_SX-PE-011_2.fastq.gz
CZD218	161004_D00261_0367_ACA2LEANXX_5_SX-PE-018	CZD218_161004_D00261_0367_ACA2LEANXX_5_SX-PE-018_1.fastq.gz	CZD218_161004_D00261_0367_ACA2LEANXX_5_SX-PE-018_2.fastq.gz
CZD219	161004_D00261_0367_ACA2LEANXX_5_SX-PE-079	CZD219_161004_D00261_0367_ACA2LEANXX_5_SX-PE-079_1.fastq.gz	CZD219_161004_D00261_0367_ACA2LEANXX_5_SX-PE-079_2.fastq.gz
CZD220	161020_D00261_0369_AC9WREANXX_2_SX-PE-032	CZD220_161020_D00261_0369_AC9WREANXX_2_SX-PE-032_1.fastq.gz	CZD220_161020_D00261_0369_AC9WREANXX_2_SX-PE-032_2.fastq.gz
CZD221	161020_D00261_0369_AC9WREANXX_1_SX-PE-046	CZD221_161020_D00261_0369_AC9WREANXX_1_SX-PE-046_1.fastq.gz	CZD221_161020_D00261_0369_AC9WREANXX_1_SX-PE-046_2.fastq.gz
CZD222	161020_D00261_0369_AC9WREANXX_2_SX-PE-065	CZD222_161020_D00261_0369_AC9WREANXX_2_SX-PE-065_1.fastq.gz	CZD222_161020_D00261_0369_AC9WREANXX_2_SX-PE-065_2.fastq.gz
CZD230	161004_D00261_0367_ACA2LEANXX_5_SX-PE-020	CZD230_161004_D00261_0367_ACA2LEANXX_5_SX-PE-020_1.fastq.gz	CZD230_161004_D00261_0367_ACA2LEANXX_5_SX-PE-020_2.fastq.gz
CZD233	161004_D00261_0367_ACA2LEANXX_6_SX-PE-044	CZD233_161004_D00261_0367_ACA2LEANXX_6_SX-PE-044_1.fastq.gz	CZD233_161004_D00261_0367_ACA2LEANXX_6_SX-PE-044_2.fastq.gz
CZD233	161122_D00261_0374_AC9U24ANXX_2_SX-PE-044	CZD233_161122_D00261_0374_AC9U24ANXX_2_SX-PE-044_1.fastq.gz	CZD233_161122_D00261_0374_AC9U24ANXX_2_SX-PE-044_2.fastq.gz
CZD235	161020_D00261_0369_AC9WREANXX_1_SX-PE-037	CZD235_161020_D00261_0369_AC9WREANXX_1_SX-PE-037_1.fastq.gz	CZD235_161020_D00261_0369_AC9WREANXX_1_SX-PE-037_2.fastq.gz
CZD236	161004_D00261_0367_ACA2LEANXX_5_SX-PE-073	CZD236_161004_D00261_0367_ACA2LEANXX_5_SX-PE-073_1.fastq.gz	CZD236_161004_D00261_0367_ACA2LEANXX_5_SX-PE-073_2.fastq.gz
CZD239	161020_D00261_0369_AC9WREANXX_1_SX-PE-013	CZD239_161020_D00261_0369_AC9WREANXX_1_SX-PE-013_1.fastq.gz	CZD239_161020_D00261_0369_AC9WREANXX_1_SX-PE-013_2.fastq.gz
CZD245	161004_D00261_0367_ACA2LEANXX_5_SX-PE-025	CZD245_161004_D00261_0367_ACA2LEANXX_5_SX-PE-025_1.fastq.gz	CZD245_161004_D00261_0367_ACA2LEANXX_5_SX-PE-025_2.fastq.gz
CZD247	161004_D00261_0367_ACA2LEANXX_6_SX-PE-095	CZD247_161004_D00261_0367_ACA2LEANXX_6_SX-PE-095_1.fastq.gz	CZD247_161004_D00261_0367_ACA2LEANXX_6_SX-PE-095_2.fastq.gz
